ID,电影名称,评分,评价人数,短评数量,影评数量,片长,语言,类型,导演,制片国家/地区,上映日期,看过人数,想看人数,星级,五星,四星,三星,二星,一星
10948,白头神探3 Naked Gun 33 1/3: The Final Insult,7.8,18261,3360,6,83,英语,喜剧/动作/犯罪,彼得·西格尔,美国,1994-03-18,27654,5015,4.0,0.237,0.456,0.27899999999999997,0.024,0.004
10949,富贵再逼人,7.4,17167,2273,7,88,粤语,喜剧/家庭,高志森,中国香港,1988-02-13,35722,2095,3.5,0.154,0.442,0.37799999999999995,0.023,0.003
10950,鬼咬鬼,7.5,14402,2435,8,94,粤语,喜剧/动作/恐怖,刘观伟,中国香港,1990-02-09,21248,4166,4.0,0.191,0.419,0.361,0.025,0.004
10951,欢乐树的朋友们：第一滴血 Happy Tree Friends: Volume 1: First Blood,9.0,7853,1185,20,110,英语,喜剧/动画,Rhode Montijo,美国,2002-02-18,12666,6142,4.5,0.6409999999999999,0.256,0.084,0.01,0.008
10952,亲爱的，我把孩子缩小了 Honey  I Shrunk the Kids,7.6,22396,3619,10,93,英语,喜剧/科幻/家庭/冒险,乔·庄斯顿,美国,1989-06-23,39829,7525,4.0,0.168,0.485,0.327,0.018000000000000002,0.002
10953,渺渺,7.0,60094,15276,422,83,汉语普通话,喜剧/爱情/同性,程孝泽,中国香港,2008-11-14,81093,37915,3.5,0.11800000000000001,0.368,0.44299999999999995,0.062,0.009000000000000001
10954,天使A Angel-A,7.7,19737,4348,165,91,法语,喜剧/爱情/奇幻,吕克·贝松,法国,2005-12-21,27375,14817,4.0,0.22699999999999998,0.44799999999999995,0.285,0.034,0.006
10955,情人节 Valentine's Day,7.0,107593,27902,234,125,英语,喜剧/爱情,盖瑞·马歇尔,美国,2010-02-12,147952,51044,3.5,0.099,0.373,0.469,0.053,0.006
10956,瘦身男女,6.9,161011,22053,131,94,粤语,喜剧/爱情,杜琪峰,中国香港,2001-06-21,285082,8397,3.5,0.10300000000000001,0.32799999999999996,0.505,0.057,0.006
10957,一个头两个大 Me  Myself & Irene,7.3,36694,5322,29,116,英语,喜剧,博比·法雷里,美国,2000-06-30,55019,15281,3.5,0.14400000000000002,0.40399999999999997,0.405,0.043,0.005
10958,魔力月光 Magic in the Moonlight,7.2,46593,18329,119,97,英语,喜剧/爱情,伍迪·艾伦,美国,2014-07-25,59424,41044,3.5,0.131,0.40299999999999997,0.41700000000000004,0.044000000000000004,0.005
10959,比得兔 Peter Rabbit,7.0,102434,33219,313,95,英语,喜剧/动画/冒险,威尔·古勒,美国,2018-03-02,230530,45177,3.5,0.114,0.37799999999999995,0.43700000000000006,0.06,0.011000000000000001
10960,孤男寡女,7.0,55135,10010,52,104,汉语普通话,喜剧/爱情,杜琪峰,中国香港,2000-06-23,92386,8903,3.5,0.109,0.337,0.5,0.049,0.005
10961,我的小小新娘 어린신부,7.1,62349,9079,50,115,韩语,喜剧/爱情,金浩俊,韩国,2004-04-02,101123,10388,3.5,0.121,0.363,0.46399999999999997,0.046,0.006
10962,智能大反攻 The Mitchells vs. The Machines,7.3,19751,7557,39,113,英语,喜剧/科幻/动画/冒险,迈克尔·里安达,美国,2021-04-30,23141,14755,3.5,0.14,0.426,0.382,0.047,0.006
10963,人人都说我爱你 Everyone Says I Love You,7.4,29217,10784,72,101,英语,喜剧/爱情/歌舞,伍迪·艾伦,美国,1996-09-20,39233,40151,3.5,0.149,0.451,0.365,0.032,0.004
10964,心急吃不了热豆腐,7.1,33750,4703,56,93,汉语保定话,喜剧,冯巩,中国大陆,2005-04-16,60997,5340,3.5,0.10800000000000001,0.373,0.46799999999999997,0.044000000000000004,0.006999999999999999
10965,小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon,7.5,24723,10010,59,87,英语,喜剧/科幻/动画/冒险,威尔·比彻,英国,2019-12-28,36818,15749,4.0,0.147,0.499,0.326,0.026000000000000002,0.002
10966,千王之王2000,6.9,117428,9424,46,91,粤语,喜剧,王晶,中国香港,1999-08-05,236212,7598,3.5,0.13,0.314,0.47,0.075,0.012
10967,明星助理 Miss Pettigrew Lives for a Day,7.4,28915,8328,147,92,英语,喜剧/爱情,贝瑞特·奈鲁利,英国,2008-03-07,37156,12416,3.5,0.14300000000000002,0.441,0.37799999999999995,0.034,0.004
10968,拜见岳父大人 Meet the Parents,7.1,59648,9125,53,108,英语,喜剧/爱情,杰伊·罗奇,美国,2000-10-06,89801,14287,3.5,0.095,0.40700000000000003,0.44799999999999995,0.044000000000000004,0.005
10969,小屁孩日记 Diary of a Wimpy Kid,7.2,43699,9890,120,94,英语,喜剧/家庭,托尔·弗罗伊登塔尔,美国,2010-03-19,65401,17661,3.5,0.126,0.408,0.42200000000000004,0.04,0.004
10970,夏日时光机 サマータイムマシン・ブルース,8.0,14113,5504,70,109,日语,喜剧/科幻,本广克行,日本,2005-09-03,17566,26620,4.0,0.271,0.49200000000000005,0.215,0.017,0.005
10971,圣诞快乐 聖誕快樂,7.8,9422,2758,21,96,粤语,喜剧,高志森,中国香港,1984-12-12,12893,6367,4.0,0.248,0.426,0.3,0.021,0.005
10972,窈窕淑男 Tootsie,8.1,12995,4050,41,116,英语,喜剧/爱情,西德尼·波拉克,美国,1982-12-17,17396,18690,4.0,0.256,0.561,0.17300000000000001,0.008,0.002
10973,驱魔道长 驅魔道長,7.3,19035,3123,14,91,粤语,喜剧/恐怖,午马,中国香港,1993,32575,3167,3.5,0.17600000000000002,0.369,0.406,0.044000000000000004,0.005
10974,我的P.S.搭档 나의 PS 파트너,7.1,57518,16648,149,114,韩语,喜剧/爱情,边圣铉,韩国,2013-02-21,80189,15652,3.5,0.132,0.377,0.424,0.059000000000000004,0.008
10975,小叮当：羽翼之谜 Secret of the Wings,8.3,11162,2280,6,75,英语,喜剧/动画/奇幻/冒险,罗伯茨·甘纳韦,美国,2012-10-23,19783,8009,4.0,0.33399999999999996,0.48100000000000004,0.17300000000000001,0.009000000000000001,0.002
10976,樱桃小丸子 真人版1 ちびまる子ちゃん,8.5,9827,2050,23,90,日语,喜剧,西浦正记,日本,2006-04-18,14530,2931,4.5,0.434,0.38299999999999995,0.161,0.017,0.005
10977,吉星拱照,7.5,13258,3080,17,90,粤语,喜剧,杜琪峰,中国香港,1990-01-08,24708,4214,4.0,0.174,0.42700000000000005,0.36,0.033,0.005
10978,追男仔,7.3,18337,5340,17,97,粤语,喜剧,王晶,中国香港,1993-08-12,28152,9214,3.5,0.159,0.409,0.386,0.040999999999999995,0.006
10979,从军记 Shoulder Arms,8.9,7885,1452,6,36,英语,喜剧/战争,查理·卓别林,美国,1918-10-20,13656,8084,4.5,0.539,0.368,0.08800000000000001,0.004,0.002
10980,恋爱回旋 ミックス。,7.0,79862,31743,368,119,日语,喜剧/运动,石川淳一,日本,2018-03-09,117613,29282,3.5,0.10300000000000001,0.35100000000000003,0.47600000000000003,0.062,0.008
10981,银魂2 銀魂2 掟は破るためにこそある,7.2,40397,12232,45,135,日语,喜剧/动作/冒险,福田雄一,日本,2018-08-17,59254,27280,3.5,0.134,0.414,0.386,0.057999999999999996,0.008
10982,羞羞的铁拳,6.8,700881,198943,1993,100,汉语普通话,喜剧/奇幻,宋阳,中国大陆,2017-09-30,1715838,39125,3.5,0.11,0.332,0.433,0.1,0.025
10983,人约巴黎 Les rendez-vous de Paris,8.0,13631,5724,40,98,法语,喜剧/爱情,埃里克·侯麦,法国,1995-03-22,18416,28354,4.0,0.223,0.5770000000000001,0.18899999999999997,0.009000000000000001,0.002
10984,超时空同居,6.8,513258,148135,1970,101,汉语普通话,喜剧/爱情/奇幻,苏伦,中国大陆,2018-05-18,1395551,83976,3.5,0.08,0.342,0.486,0.081,0.011000000000000001
10985,怪尸案 The Trouble with Harry,7.6,20107,6636,20,99,英语,喜剧/悬疑,阿尔弗雷德·希区柯克,美国,1955-10-03,25359,12547,4.0,0.191,0.434,0.33899999999999997,0.032,0.004
10986,快把我哥带走,6.8,386101,122652,1600,115,汉语普通话,喜剧/奇幻,郑芬芬,中国大陆,2018-08-17,1055694,81281,3.5,0.107,0.32,0.446,0.106,0.02
